Run_accession,Group
SRR12180995,animal
SRR12180996,animal
SRR12180997,animal
SRR12180998,animal
SRR12180999,animal
SRR12181000,animal
SRR12181001,animal
SRR12181002,animal
SRR12181003,animal
SRR12181004,animal
SRR12181005,animal
SRR12181006,animal
SRR12181007,animal
SRR12181008,animal
SRR12181009,animal
SRR12181010,animal
SRR12181011,animal
SRR12181012,animal
SRR12181013,animal
SRR12181014,animal
SRR12181015,animal
SRR12181016,animal
SRR12181017,animal
SRR12181018,animal
SRR12181019,animal
SRR12181020,animal
SRR12181021,animal
SRR12181022,animal
SRR12181023,animal
SRR12181024,animal
SRR12181025,animal
SRR12181026,animal
SRR12181027,animal
SRR12181028,animal
SRR12181029,animal
SRR12181030,animal
SRR12181031,animal
SRR12181032,animal
SRR12181033,animal
SRR12181034,animal
SRR12181035,animal
SRR12181036,animal
SRR12181037,animal
SRR12181038,animal
SRR12181039,animal
SRR12181040,animal
SRR12181041,animal
SRR12181042,animal
SRR12181043,animal
SRR12181044,animal
SRR12181045,animal
SRR12181046,animal
SRR12181047,animal
SRR12181048,animal
SRR12181049,animal
SRR12181050,animal
SRR12181051,animal
SRR12181052,animal
SRR12181053,animal
SRR12181054,animal
SRR12181055,animal
SRR12181056,animal
SRR12181057,animal
SRR12181058,animal
SRR12181059,animal
SRR14202207,animal
SRR14202208,animal
SRR14202209,animal
SRR14202210,animal
SRR14202211,animal
SRR14202212,animal
SRR14202213,animal
SRR14202214,animal
SRR14202215,animal
SRR14202216,animal
SRR14202217,animal
SRR14202218,animal
SRR14202219,animal
SRR14202220,animal
SRR14202230,animal
SRR14202238,animal
SRR14202239,animal
SRR14202240,animal
SRR14202241,animal
SRR14202242,animal
SRR14202243,animal
SRR14202244,animal
SRR14202245,animal
SRR14202246,animal
SRR14202247,animal
SRR14202248,animal
SRR14202249,animal
SRR14202250,animal
SRR14202251,animal
SRR14202252,animal
SRR14202253,animal
SRR14202254,animal
SRR14202255,animal
SRR14202256,animal
SRR14202257,animal
SRR15023571,animal
SRR15023572,animal
SRR15023573,animal
SRR15023574,animal
SRR15023575,animal
SRR15023576,animal
SRR15023577,animal
SRR15023578,animal
SRR15023579,animal
SRR15023580,animal
SRR15023581,animal
SRR15023582,animal
SRR15023583,animal
SRR15023584,animal
SRR15023585,animal
SRR15023586,animal
SRR15023587,animal
SRR15023588,animal
SRR15023589,animal
SRR15023590,animal
SRR15023591,animal
SRR15023592,animal
SRR15023593,animal
SRR15023594,animal
SRR15023595,animal
SRR15023596,animal
SRR15023597,animal
SRR15023598,animal
SRR15023599,animal
SRR15023600,animal
SRR15023601,animal
SRR15023602,animal
SRR15023603,animal
SRR15023604,animal
SRR15023605,animal
SRR15023606,animal
SRR15023607,animal
SRR15023608,animal
SRR15023609,animal
SRR15023610,animal
SRR15023611,animal
SRR15023612,animal
SRR15023613,animal
SRR17230211,animal
SRR17230212,animal
SRR17230213,animal
SRR17230214,animal
SRR17230215,animal
SRR17230216,animal
SRR17230217,animal
SRR17230218,animal
SRR17230219,animal
SRR17230220,animal
SRR17230221,animal
SRR17230222,animal
SRR18233560,animal
SRR18233561,animal
SRR18233562,animal
SRR18233563,animal
SRR18233564,animal
SRR18233565,animal
SRR18233566,animal
SRR18233567,animal
SRR18233568,animal
SRR18233569,animal
SRR18233570,animal
SRR18233571,animal
SRR18233572,animal
SRR18233573,animal
SRR18233574,animal
SRR20930587,animal
SRR20930588,animal
SRR20930589,animal
SRR20930590,animal
SRR20930591,animal
SRR20930592,animal
SRR20930593,animal
SRR20930594,animal
SRR20930595,animal
SRR20930596,animal
SRR20930597,animal
SRR20930598,animal
SRR20930599,animal
SRR20930600,animal
SRR20930601,animal
SRR20930602,animal
SRR20930603,animal
SRR20930604,animal
SRR20930605,animal
SRR20930606,animal
SRR20930607,animal
SRR20930608,animal
SRR21163417,animal
SRR21163418,animal
SRR21163419,animal
SRR21163420,animal
SRR21163421,animal
SRR21163422,animal
SRR21163423,animal
SRR21163424,animal
SRR21163425,animal
SRR21163426,animal
SRR21163427,animal
SRR21163428,animal
SRR21163429,animal
SRR21163430,animal
SRR21163431,animal
SRR21163432,animal
SRR21163433,animal
SRR21163434,animal
SRR21163435,animal
SRR21163436,animal
SRR21163437,animal
SRR21163438,animal
SRR21163439,animal
SRR21163440,animal
SRR21163441,animal
SRR21163442,animal
SRR21163443,animal
SRR21163444,animal
SRR21163445,animal
SRR21163446,animal
SRR21163447,animal
SRR21163448,animal
SRR21163449,animal
SRR21163450,animal
SRR21163451,animal
SRR21163452,animal
SRR21163453,animal
SRR21163454,animal
SRR21163455,animal
SRR21163456,animal
SRR21163457,animal
SRR21163458,animal
SRR21163459,animal
SRR21163460,animal
SRR21163461,animal
SRR21163462,animal
SRR21163463,animal
SRR21163464,animal
SRR21163465,animal
SRR21163466,animal
SRR21163467,animal
SRR21163468,animal
SRR21163469,animal
SRR21163470,animal
SRR21163471,animal
SRR21163472,animal
SRR21163473,animal
SRR21163474,animal
SRR21163475,animal
SRR21163476,animal
SRR21163477,animal
SRR21163478,animal
SRR21163479,animal
SRR21163480,animal
SRR21163481,animal
SRR21163482,animal
SRR21163483,animal
SRR21163484,animal
SRR21163485,animal
SRR21163486,animal
SRR21163487,animal
SRR21163488,animal
SRR21163489,animal
SRR21163490,animal
SRR21163491,animal
SRR21163492,animal
SRR21163493,animal
SRR21163494,animal
SRR21163495,animal
SRR21163496,animal
SRR21163497,animal
SRR21163498,animal
SRR21163499,animal
SRR21163500,animal
SRR21163501,animal
SRR21163502,animal
SRR21163503,animal
SRR21163504,animal
SRR21163505,animal
SRR21163506,animal
SRR21163507,animal
SRR21163508,animal
SRR21163509,animal
SRR21163510,animal
SRR21163511,animal
SRR21163512,animal
SRR21163513,animal
SRR21163514,animal
SRR21163515,animal
SRR21163516,animal
SRR21163517,animal
SRR21163518,animal
SRR21163519,animal
SRR21163520,animal
SRR21163521,animal
SRR21163522,animal
SRR21163523,animal
SRR21163524,animal
SRR21163525,animal
SRR21163526,animal
SRR21163527,animal
SRR21163528,animal
SRR21163529,animal
SRR21163530,animal
SRR21163531,animal
SRR21163532,animal
SRR21163533,animal
SRR21163534,animal
SRR21163535,animal
SRR23013066,animal
SRR23013067,animal
SRR23013068,animal
SRR23013069,animal
SRR23013070,animal
SRR23013071,animal
SRR24359754,animal
SRR24359755,animal
SRR24359756,animal
SRR24359757,animal
SRR24359758,animal
SRR24359759,animal
SRR24359760,animal
SRR24359761,animal
SRR24359762,animal
SRR24359763,animal
SRR24359764,animal
SRR24359765,animal
SRR24857235,animal
SRR24857236,animal
SRR24857237,animal
SRR24857238,animal
SRR24857239,animal
SRR24857240,animal
SRR24857241,animal
SRR24857242,animal
SRR24857243,animal
SRR25306126,animal
SRR25306137,animal
SRR25306148,animal
SRR25306160,animal
SRR25306171,animal
SRR25306174,animal
SRR25306175,animal
SRR25306176,animal
SRR25306177,animal
SRR25306178,animal
SRR25306179,animal
SRR25306180,animal
SRR25306181,animal
SRR25306182,animal
SRR25306183,animal
SRR25306184,animal
SRR25306185,animal
SRR25306186,animal
SRR25306187,animal
SRR25306188,animal
SRR25306189,animal
SRR25306190,animal
SRR25306191,animal
SRR25306192,animal
SRR25306193,animal
SRR25306194,animal
SRR25306195,animal
SRR25306196,animal
SRR25306197,animal
SRR25306198,animal
SRR25306199,animal
SRR25306200,animal
SRR25306201,animal
SRR25306202,animal
SRR25306203,animal
SRR25306204,animal
SRR25306205,animal
SRR25306206,animal
SRR25306207,animal
SRR25306208,animal
SRR25306209,animal
SRR25306210,animal
SRR25306211,animal
SRR25306212,animal
SRR25306213,animal
SRR25306214,animal
SRR25306215,animal
SRR25306216,animal
SRR27680213,animal
SRR27680214,animal
SRR27680215,animal
SRR27680216,animal
SRR27680217,animal
SRR27680218,animal
SRR27680219,animal
SRR27680220,animal
SRR27680221,animal
SRR27680222,animal
SRR27680223,animal
SRR27680224,animal
SRR27680225,animal
SRR27680226,animal
SRR27680227,animal
SRR27680228,animal
SRR27680229,animal
SRR27680230,animal
SRR27680231,animal
SRR27680232,animal
SRR27680233,animal
SRR27680234,animal
SRR27680235,animal
SRR27680236,animal
SRR28497695,animal
SRR28497696,animal
SRR28497697,animal
SRR28497698,animal
SRR28497699,animal
SRR28497700,animal
SRR28497701,animal
SRR28497702,animal
SRR28497703,animal
SRR28497704,animal
SRR29354198,animal
SRR29354199,animal
SRR29354200,animal
SRR29354202,animal
SRR29354203,animal
SRR29354204,animal
SRR29354205,animal
SRR29354206,animal
SRR29354207,animal
SRR29354208,animal
SRR29354209,animal
SRR29354210,animal
SRR29354211,animal
SRR29354212,animal
SRR29354213,animal
SRR29354214,animal
SRR29354215,animal
SRR29354216,animal
SRR29354217,animal
SRR29409633,animal
SRR29409634,animal
SRR29409635,animal
SRR29409636,animal
SRR29409637,animal
SRR29409638,animal
SRR29409639,animal
SRR29409640,animal
SRR29409641,animal
SRR29409642,animal
SRR29409643,animal
SRR29409644,animal
SRR29409645,animal
SRR29409646,animal
SRR29409647,animal
SRR29409648,animal
SRR29409649,animal
SRR29409650,animal
SRR29409651,animal
SRR29409652,animal
SRR29409653,animal
SRR29409654,animal
SRR29409655,animal
SRR29409656,animal
SRR29409657,animal
SRR29409658,animal
SRR29409659,animal
SRR29409660,animal
SRR29409661,animal
SRR29409662,animal
SRR29429232,animal
SRR29429233,animal
SRR29429234,animal
SRR29429235,animal
SRR29429236,animal
SRR29429237,animal
SRR29429238,animal
SRR29429239,animal
SRR29429240,animal
SRR29429241,animal
SRR29429242,animal
SRR29429243,animal
SRR29429244,animal
SRR29429245,animal
SRR29429246,animal
SRR29429269,animal
SRR29429270,animal
SRR29429271,animal
SRR29429272,animal
SRR29429273,animal
SRR29429274,animal
SRR29429275,animal
SRR29429276,animal
SRR29429277,animal
SRR29429278,animal
SRR29429279,animal
SRR29429280,animal
SRR29429281,animal
SRR29429282,animal
SRR29429283,animal
SRR29449358,animal
SRR29449359,animal
SRR29449360,animal
SRR29449361,animal
SRR29449362,animal
SRR29449363,animal
SRR29449364,animal
SRR29449365,animal
SRR29449366,animal
SRR29449367,animal
SRR29449368,animal
SRR29449369,animal
SRR29449370,animal
SRR29449371,animal
SRR29449372,animal
SRR29449373,animal
SRR29449374,animal
SRR29449375,animal
SRR29449376,animal
SRR29449377,animal
SRR29449378,animal
SRR29449379,animal
SRR29449380,animal
SRR29449381,animal
SRR29449905,animal
SRR29449906,animal
SRR29449907,animal
SRR29449908,animal
SRR29449909,animal
SRR29449910,animal
SRR29449911,animal
SRR29449912,animal
SRR29449913,animal
SRR29449914,animal
SRR29449915,animal
SRR29449916,animal
SRR29449917,animal
SRR29449918,animal
SRR29449919,animal
SRR29449920,animal
SRR29449921,animal
SRR29449922,animal
SRR29472726,animal
SRR29472727,animal
SRR29472728,animal
