Category	Bin	Completeness	Contamination	GC_content	N50	N_contigs	Size	Classification	p	c	o	f	g	s	Annotated.at.the.species.level
Clinical	ERR4283187_bin.27	94.94	3.531	0.244	84033	23	1006129	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__CAG-611	s__CAG-611 sp900552235	Yes
Animal	ERR2027903_bin.25	92.13	0	0.258	264229	17	1010501	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__CAG-433	s__CAG-433 sp900320735	Yes
Animal	CRR657448_bin.72	93.25	0.16	0.298	23219	64	1017955	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__RUG12867	s__	No
Animal	SRR15023610_bin.49	98.87	0.048	0.366	287014	5	1036082	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__UBA1709	g__JAAZGG01	s__	No
Environment	ERR2592338_bin.3	97.75	0	0.358	35547	61	1039153	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-826	g__UBA1361	s__UBA1361 sp002306335	Yes
Clinical	SRR18191134_bin.10	92.13	0.955	0.274	53288	35	1059645	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__UMGS1449	s__UMGS1449 sp900551925	Yes
Clinical	ERR4283495_bin.13	92.13	2.247	0.267	285996	12	1060124	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__CAG-533	s__CAG-533 sp004563275	Yes
Clinical	ERR4283228_bin.33	91.57	1.123	0.263	711461	5	1075324	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__CAG-1000	s__CAG-1000 sp000436975	Yes
Animal	SRR29409644_bin.12	93.82	0	0.257	85082	56	1080615	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__Caccenecus	s__	No
Animal	ERR2027892_bin.12	98.87	1.172	0.368	76595	26	1086330	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-826	g__UBA3207	s__UBA3207 sp900314585	Yes
Clinical	ERR525979_bin.3	94.94	1.123	0.268	19650	98	1092094	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__SIG204	s__SIG204 sp900544605	Yes
Clinical	ERR4283450_bin.23	93.25	2.247	0.266	757850	9	1116600	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__CAG-710	s__CAG-710 sp934141245	Yes
Clinical	ERR4283317_bin.11	93.53	1.123	0.267	883735	3	1130599	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__CAG-302	s__CAG-302 sp900543825	Yes
Animal	SRR29472733_bin.38	94.38	1.123	0.367	63051	154	1136046	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-288	g__Scatoplasma	s__Scatoplasma merdavium	Yes
Animal	CRR657436_bin.5	92.69	1.685	0.286	73368	29	1141505	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__	s__	No
Animal	SRR15023597_bin.45	98.87	4.173	0.346	267847	36	1143516	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-826	g__UBA3207	s__	No
Clinical	ERR4283496_bin.23	93.82	1.123	0.276	65122	32	1152674	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__CAG-762	s__CAG-762 sp000432575	Yes
Clinical	ERR4283208_bin.8	92.69	1.123	0.277	226166	15	1158198	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__Aphodocola	s__Aphodocola sp900547225	Yes
Clinical	SRR18191195_bin.39	91.57	1.123	0.251	697611	5	1159067	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__UMGS872	s__UMGS872 sp900546275	Yes
Clinical	ERR4283398_bin.29	91.57	4.494	0.276	26595	67	1159883	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__UMGS2016	s__UMGS2016 sp945872435	Yes
Animal	SRR15023580_bin.18	96.62	2.247	0.475	131896	17	1162626	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-826	g__UBA4951	s__UBA4951 sp902802355	Yes
Clinical	ERR4283168_bin.44	93.82	2.247	0.26	68293	36	1166169	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__Faecisoma	s__Faecisoma sp000432255	Yes
Animal	SRR12180959_bin.5	93.47	1.093	0.364	17606	101	1173694	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Apilactobacillus	s__Apilactobacillus kunkeei	Yes
Clinical	SRR14355392_bin.88	92.41	3.37	0.284	25067	65	1175231	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__CAG-877	s__CAG-877 sp900768815	Yes
Animal	SRR24359761_bin.8	92.41	1.123	0.288	54261	36	1186867	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__Aphodocola	s__	No
Clinical	SRR14693221_bin.14	96.62	0	0.271	288818	27	1193824	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-826	g__Onthovivens	s__Onthovivens sp900540365	Yes
Clinical	ERR4283345_bin.47	93.82	0	0.271	55913	31	1195460	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__Caccenecus	s__Caccenecus sp900549285	Yes
Clinical	SRR18191143_bin.32	91.57	1.685	0.27	81218	27	1200838	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__Onthocola_B	s__Onthocola_B sp900551525	Yes
Animal	SRR21163520_bin.17	97.08	1.701	0.391	20711	102	1213376	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Ligilactobacillus	s__Ligilactobacillus araffinosus	Yes
Clinical	ERR4283378_bin.16	91.01	2.247	0.252	122736	17	1214213	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__CAG-533	s__CAG-533 sp900553855	Yes
Animal	SRR12181049_bin.9	97.07	0.523	0.455	36783	83	1219409	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Fructobacillus	s__Fructobacillus fructosus	Yes
Animal	SRR21163457_bin.27	97.06	1.383	0.48	56708	41	1219897	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Ligilactobacillus	s__	No
Clinical	ERR4283122_bin.23	91.57	1.685	0.281	117727	20	1222871	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__CAG-628	s__CAG-628 sp003524085	Yes
Clinical	ERR4283323_bin.26	91.57	1.123	0.295	212165	28	1229434	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__CAG-533	s__CAG-533 sp000434495	Yes
Animal	SRR29472731_bin.27	93.25	0	0.299	84895	42	1235040	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-826	g__CAJOOD01	s__	No
Animal	SRR21163455_bin.1	93.19	1.047	0.347	119776	15	1237423	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__F6-6636	s__	No
Clinical	SRR14693221_bin.1	97.03	0	0.414	97203	38	1242957	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-826	g__UBA4951	s__UBA4951 sp900542595	Yes
Animal	SRR29757212_bin.73	92.69	4.787	0.277	29715	47	1244969	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__CALVJF01	s__CALVJF01 sp944331885	Yes
Animal	SRR21163426_bin.39	91.92	1.284	0.559	5159	328	1250135	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-826	g__Enteromonas	s__Enteromonas pullicola	Yes
Animal	SRR15023574_bin.45	97.62	3.758	0.365	6389	266	1269957	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__DUUI01	s__	No
Clinical	SRR14693224_bin.24	92.13	0	0.292	152125	11	1273077	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__CAG-605	s__CAG-605 sp000433255	Yes
Animal	SRR15023600_bin.49	92.92	1.221	0.329	14924	142	1279338	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-826	g__SIG220	s__	No
Animal	SRR15023589_bin.64	95.45	3.843	0.365	45537	76	1282030	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-826	g__UBA3207	s__	No
Clinical	SRR14355425_bin.10	92.13	1.123	0.291	181607	16	1290819	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__CAG-605	s__CAG-605 sp900545005	Yes
Animal	ERR2027913_bin.12	90.44	1.123	0.257	47666	50	1293890	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__CAG-1000	s__	No
Clinical	SRR14355355_bin.34	93.82	1.685	0.277	54944	35	1295743	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__Onthousia	s__Onthousia sp000438295	Yes
Environment	SRR25018382_bin.1	91.43	0.111	0.282	7387	237	1297308	d__Bacteria	p__Bacillota	c__Bacilli	o__Mycoplasmatales	f__UBA3375	g__	s__	No
Animal	SRR15023584_bin.8	97.75	2.247	0.36	31795	70	1306086	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-826	g__CAJOLV01	s__	No
Clinical	SRR14355392_bin.89	91.57	3.25	0.269	32639	85	1306455	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__Onthocola_B	s__Onthocola_B sp000438075	Yes
Animal	SRR17230212_bin.12	92.13	0.112	0.293	12899	131	1317257	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__MGBC162267	s__	No
Animal	SRR21163431_bin.61	98.95	1.269	0.401	9771	228	1329416	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__JAHHTG01	s__JAHHTG01 sp944326055	Yes
Clinical	SRR6915092_bin.20	97.75	0.561	0.553	45044	44	1352342	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-826	g__UBA4951	s__UBA4951 sp944375905	Yes
Animal	ERR2027910_bin.9	98.31	3.37	0.348	184241	8	1355380	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-826	g__UBA2450	s__UBA2450 sp900314865	Yes
Clinical	ERR4283169_bin.43	92.69	2.059	0.27	158685	17	1362437	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__CAG-582	s__CAG-582 sp000435515	Yes
Animal	SRR29757213_bin.10	95.5	3.932	0.275	73046	162	1365771	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__UBA5578	s__UBA5578 sp944350495	Yes
Clinical	SRR12557734_bin.82	91.12	0	0.288	39584	49	1365771	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-449	g__CAG-449	s__	No
Animal	CRR657435_bin.45	94.38	0	0.257	234656	15	1368033	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__UMGS995	s__	No
Animal	SRR15023572_bin.30	94.38	4.093	0.268	207781	9	1389846	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__UBA3631	s__UBA3631 sp002374055	Yes
Clinical	ERR4283386_bin.29	94.94	3.37	0.285	208350	18	1390848	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__RUG13868	s__RUG13868 sp934100165	Yes
Animal	SRR29536182_bin.4	97.75	0	0.565	167737	263	1396608	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-826	g__UBA4951	s__	No
Clinical	ERR4283200_bin.25	91.29	3.37	0.254	71507	33	1397675	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__UBA6448	s__UBA6448 sp934097085	Yes
Animal	SRR15023598_bin.61	96.62	0.802	0.36	21800	107	1412569	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-826	g__RUG14515	s__RUG14515 sp902763555	Yes
Animal	SRR12181006_bin.12	91.69	0.865	0.37	188214	18	1416182	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__Lactobacillus apis	Yes
Clinical	ERR4283424_bin.27	95.22	3.531	0.283	354476	11	1417822	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__Faecimonas	s__Faecimonas sp022771205	Yes
Animal	SRR29449379_bin.6	97.75	0	0.539	214116	68	1426412	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-826	g__Enteromonas	s__	No
Clinical	ERR4283402_bin.2	91.57	2.808	0.262	90428	20	1427835	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__CAG-302	s__CAG-302 sp001916775	Yes
Clinical	ERR4283439_bin.31	93.82	0.561	0.304	33591	66	1431237	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__Coprosoma	s__Coprosoma sp900546055	Yes
Environment	SRR25018383_bin.2	97.21	2	0.288	17439	141	1433894	d__Bacteria	p__Bacillota	c__Bacilli	o__Mycoplasmatales	f__UBA3375	g__	s__	No
Animal	SRR15023603_bin.14	100	0.111	0.331	224588	17	1434980	d__Bacteria	p__Bacillota	c__Bacilli	o__ML615J-28	f__CAG-313	g__UBA1231	s__UBA1231 sp002308275	Yes
Animal	SRR15023573_bin.59	91.01	0.112	0.332	35972	56	1435863	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__UBA5026	s__	No
Animal	SRR29536182_bin.43	100	0	0.326	32198	388	1439341	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-449	g__CALVJO01	s__CALVJO01 sp944332525	Yes
Animal	CRR537278_bin.2	91.61	0.803	0.371	12600	175	1444213	d__Bacteria	p__Bacillota	c__Bacilli	o__Staphylococcales	f__Salinicoccaceae	g__Jeotgalicoccus_A	s__Jeotgalicoccus_A schoeneichii	Yes
Clinical	ERR4283164_bin.31	93.25	0	0.249	46981	49	1462350	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__CAJLIR01	s__CAJLIR01 sp905206805	Yes
Environment	ERR1713394_bin.94	95.39	2.333	0.386	31330	93	1464172	d__Bacteria	p__Bacillota	c__Bacilli	o__Acholeplasmatales	f__Acholeplasmataceae	g__UBA2284	s__	No
Environment	ERR2592338_bin.18	97.33	0	0.305	60511	41	1465623	d__Bacteria	p__Bacillota	c__Bacilli	o__ML615J-28	f__CAG-698	g__	s__	No
Clinical	SRR14693208_bin.18	96.62	1.123	0.3	56919	41	1482900	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-826	g__Onthovivens	s__Onthovivens sp905197045	Yes
Clinical	ERR4283221_bin.15	98.87	1.123	0.347	457460	6	1489265	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-288	g__CAG-568	s__CAG-568 sp000434395	Yes
Clinical	ERR525813_bin.12	93.82	0	0.316	45062	48	1503494	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__Scybalousia	s__Scybalousia sp900543675	Yes
Animal	SRR29536191_bin.53	94.33	2.83	0.407	167515	49	1503587	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Faecalicoccus	s__Faecalicoccus acidiformans	Yes
Animal	SRR18233564_bin.77	98.87	0	0.286	116388	36	1504176	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-631	g__Caccosoma	s__Caccosoma sp905197115	Yes
Animal	SRR14202247_bin.7	99.04	0	0.338	34005	75	1513596	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__CALVGN01	s__	No
Animal	SRR29757238_bin.11	100	1.444	0.29	52883	48	1528064	d__Bacteria	p__Bacillota	c__Bacilli	o__ML615J-28	f__CAG-313	g__CAG-313	s__CAG-313 sp944326155	Yes
Clinical	SRR14693221_bin.17	100	0	0.326	35353	68	1530248	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-449	g__CALVJO01	s__CALVJO01 sp944332075	Yes
Animal	ERR2027903_bin.53	95.34	1.123	0.487	89597	67	1532326	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-826	g__Enteromonas	s__Enteromonas sp900316365	Yes
Animal	SRR27680232_bin.3	90.34	0.91	0.404	13034	209	1534115	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Jeotgalibaca	s__Jeotgalibaca porci	Yes
Environment	ERR1713337_bin.10	96.22	1.886	0.5	25233	116	1539845	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__UBA2212	s__	No
Clinical	SRR19580910_bin.11	95.22	3.37	0.293	73728	28	1545009	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__Faecimonas	s__Faecimonas intestinavium	Yes
Animal	ERR2027908_bin.25	93.25	2.969	0.47	15548	162	1548127	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-826	g__Enteromonas	s__Enteromonas sp900317165	Yes
Animal	SRR15023600_bin.11	98.87	1.123	0.34	56866	33	1548517	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-826	g__UBA3207	s__	No
Animal	SRR29472733_bin.9	94.38	3.37	0.264	35839	76	1557592	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__Coprovivens	s__Coprovivens sp944332265	Yes
Clinical	ERR4283422_bin.12	92.13	1.845	0.271	136827	18	1559325	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__CAG-605	s__CAG-605 sp000433475	Yes
Clinical	SRR21615056_bin.1	98.56	0	0.304	783808	11	1560564	d__Bacteria	p__Bacillota	c__Bacilli	o__Staphylococcales	f__Gemellaceae	g__Gemella	s__Gemella morbillorum	Yes
Clinical	SRR18191120_bin.6	97.1	0.23	0.541	29589	82	1563044	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus	s__Limosilactobacillus pontis	Yes
Animal	SRR21163516_bin.60	96.49	2.115	0.386	48465	55	1565030	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Holdemanella	s__	No
Environment	ERR1713394_bin.84	96.72	1.777	0.375	97480	25	1570750	d__Bacteria	p__Bacillota	c__Bacilli	o__Acholeplasmatales	f__Acholeplasmataceae	g__UBA2284	s__	No
Clinical	ERR4283190_bin.14	100	1.444	0.292	185142	29	1572265	d__Bacteria	p__Bacillota	c__Bacilli	o__ML615J-28	f__CAG-313	g__CAG-313	s__CAG-313 sp003539625	Yes
Animal	SRR25306204_bin.20	94.38	0	0.268	32060	127	1584935	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__Caccenecus	s__Caccenecus sp910585045	Yes
Animal	SRR15023594_bin.11	98.87	0	0.352	31917	81	1586859	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-826	g__RUG14515	s__	No
Clinical	ERR4283246_bin.26	100	0	0.336	180198	14	1592280	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-826	g__CAG-826	s__CAG-826 sp000437235	Yes
Clinical	SRR21144651_bin.1	95.71	4.761	0.367	6131	337	1598069	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Bulleidia	s__	No
Clinical	SRR14000951_bin.7	93.25	3.932	0.259	45297	71	1605358	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__RUG11198	s__RUG11198 sp934149245	Yes
Clinical	ERR4283422_bin.36	98.5	0	0.304	196721	27	1610985	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-288	g__CAG-288	s__CAG-288 sp000437395	Yes
Animal	ERR2027907_bin.49	96.62	3.419	0.533	36428	82	1627927	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-826	g__Enteromonas	s__Enteromonas sp900317295	Yes
Clinical	CRR476103_bin.29	100	0.749	0.406	118644	28	1628013	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus alactolyticus	Yes
Animal	SRR15023578_bin.20	98.87	3.663	0.34	92347	163	1642129	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-826	g__UBA2450	s__	No
Environment	ERR1713410_bin.2	91.04	3.308	0.364	19477	125	1649804	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__Lactobacillus helveticus	Yes
Environment	ERR1713394_bin.74	96.22	0.943	0.346	18407	140	1701021	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__UBA2212	s__	No
Animal	ERR2027898_bin.32	93.82	2.247	0.257	46336	83	1712169	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__UBA3789	s__UBA3789 sp900314225	Yes
Clinical	SRR14355379_bin.47	96.62	1.685	0.287	110417	42	1712495	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-826	g__Onthovivens	s__Onthovivens sp900545015	Yes
