Category,Bin,Completeness,Contamination,GC_content,N50,N_contigs,Size,Classification,p,c,o,f,g,s,Annotated.at.the.species.level
Environment,SRR8208346_bin.45,95.6,0,0.345,114085,23,1009624,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rickettsiales,f__Midichloriaceae,g__,s__,No
Animal,ERR2027903_bin.25,92.13,0,0.258,264229,17,1010501,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__CAG-433,s__CAG-433 sp900320735,Yes
Animal,SRR23013070_bin.35,91.57,1.123,0.299,53244,26,1017099,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__MGBC107952,s__,No
Animal,CRR657448_bin.72,93.25,0.16,0.298,23219,64,1017955,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__RUG12867,s__,No
Clinical,SRR12557734_bin.284,90.89,0,0.344,70037,19,1020353,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__UBA1242,g__Onthoplasma,s__Onthoplasma sp934772045,Yes
Environment,ERR1713347_bin.25,95.12,0.162,0.449,24115,79,1022645,d__Bacteria,p__Coprothermobacterota,c__Coprothermobacteria,o__Coprothermobacterales,f__Coprothermobacteraceae,g__Coprothermobacter,s__Coprothermobacter proteolyticus,Yes
Animal,SRR15023610_bin.49,98.87,0.048,0.366,287014,5,1036082,d__Bacteria,p__Bacillota,c__Bacilli,o__RFN20,f__UBA1709,g__JAAZGG01,s__,No
Environment,ERR2592338_bin.3,97.75,0,0.358,35547,61,1039153,d__Bacteria,p__Bacillota,c__Bacilli,o__RFN20,f__CAG-826,g__UBA1361,s__UBA1361 sp002306335,Yes
Clinical,SRR12442179_bin.29,92.7,3.37,24.37,79739,24,1039991,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Agathobacter,s__Agathobacter rectalis,Yes
Clinical,SRR12442174_bin.3,100,1.28,26.95,297270,9,1056155,d__Bacteria,p__Bacillota_C,c__Negativicutes,o__Acidaminococcales,f__Acidaminococcaceae,g__CAG-266,s__CAG-266 sp000436095,Yes
Clinical,SRR18191134_bin.10,92.13,0.955,0.274,53288,35,1059645,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__UMGS1449,s__UMGS1449 sp900551925,Yes
Clinical,ERR4283495_bin.13,92.13,2.247,0.267,285996,12,1060124,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__CAG-533,s__CAG-533 sp004563275,Yes
Clinical,ERR4283228_bin.33,91.57,1.123,0.263,711461,5,1075324,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__CAG-1000,s__CAG-1000 sp000436975,Yes
Clinical,ERR4283376_bin.31,91.57,2.247,0.274,75290,23,1078747,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__CAG-710,s__CAG-710 sp000432595,Yes
Animal,SRR29409644_bin.12,93.82,0,0.257,85082,56,1080615,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__Caccenecus,s__,No
Animal,ERR2027892_bin.12,98.87,1.172,0.368,76595,26,1086330,d__Bacteria,p__Bacillota,c__Bacilli,o__RFN20,f__CAG-826,g__UBA3207,s__UBA3207 sp900314585,Yes
Animal,SRR29757238_bin.69,90.44,1.123,0.35,61882,34,1091685,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__UBA1242,g__Caccovivens,s__Caccovivens sp944384495,Yes
Clinical,ERR525979_bin.3,94.94,1.123,0.268,19650,98,1092094,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__SIG204,s__SIG204 sp900544605,Yes
Animal,SRR15023605_bin.36,91.57,1.123,0.385,41440,49,1094408,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__UBA1242,g__UBA7862,s__,No
Animal,ERR2027900_bin.75,92.13,1.235,0.35,7697,187,1102861,d__Bacteria,p__Bacillota,c__Bacilli,o__RFN20,f__CAG-826,g__RUG13091,s__RUG13091 sp902785645,Yes
Environment,SRR16108676_bin.36,93.6,3.281,0.287,34792,59,1110168,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Pelagibacterales,f__Pelagibacteraceae,g__Pelagibacter,s__Pelagibacter sp016870175,Yes
Clinical,ERR4283450_bin.23,93.25,2.247,0.266,757850,9,1116600,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__CAG-710,s__CAG-710 sp934141245,Yes
Animal,SRR29409645_bin.7,91.57,4.494,0.316,40787,43,1118972,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__UBA1242,g__Onthoplasma,s__Onthoplasma sp944383245,Yes
Animal,SRR15023572_bin.47,91.63,2.909,0.262,5352,263,1128089,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__DUWA01,s__,No
Clinical,SRR18191167_bin.14,91.57,1.123,0.264,187382,14,1128947,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__Onthocola_B,s__Onthocola_B sp000437355,Yes
Clinical,ERR4283317_bin.11,93.53,1.123,0.267,883735,3,1130599,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__CAG-302,s__CAG-302 sp900543825,Yes
Animal,SRR29472733_bin.38,94.38,1.123,0.367,63051,154,1136046,d__Bacteria,p__Bacillota,c__Bacilli,o__RFN20,f__CAG-288,g__Scatoplasma,s__Scatoplasma merdavium,Yes
Clinical,SRR13077677_bin.25,93.82,2.25,25.46,305028,9,1139464,d__Bacteria,p__Actinomycetota,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__Adlercreutzia,s__Adlercreutzia equolifaciens,Yes
Animal,CRR657436_bin.5,92.69,1.685,0.286,73368,29,1141505,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__,s__,No
Animal,SRR15023597_bin.45,98.87,4.173,0.346,267847,36,1143516,d__Bacteria,p__Bacillota,c__Bacilli,o__RFN20,f__CAG-826,g__UBA3207,s__,No
Animal,SRR29409644_bin.2,92.13,1.172,0.307,40124,47,1144880,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__UBA1242,g__UBA6345,s__UBA6345 sp944380265,Yes
Clinical,SRR5405773_bin.1,95.07,0.528,0.379,29958,59,1147067,d__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Helicobacteraceae,g__HGM08974,s__HGM08974 sp900766555,Yes
Animal,SRR29449908_bin.26,91.2,0.549,0.408,16104,131,1149407,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__RF32,f__UBA3637,g__CALXZG01,s__,No
Environment,SRR8208346_bin.40,93.4,0,0.302,608079,7,1149423,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rickettsiales,f__Midichloriaceae,g__,s__,No
Animal,SRR15023603_bin.43,97.75,1.123,0.526,974017,2,1149536,d__Bacteria,p__Bacillota,c__Bacilli,o__RFN20,f__CAG-826,g__UBA4951,s__,No
Clinical,ERR4283496_bin.23,93.82,1.123,0.276,65122,32,1152674,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__CAG-762,s__CAG-762 sp000432575,Yes
Clinical,ERR4283246_bin.10,92.69,0,0.277,144459,20,1155366,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__JAEDMO01,s__JAEDMO01 sp016302935,Yes
Clinical,SRR12328906_bin.29,92.42,1.69,26.57,627772,6,1155781,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Lachnospira,s__Lachnospira sp003451515,Yes
Clinical,ERR4283208_bin.8,92.69,1.123,0.277,226166,15,1158198,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__Aphodocola,s__Aphodocola sp900547225,Yes
Animal,SRR15023605_bin.1,95.69,0,0.425,87223,23,1158832,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__RF32,f__CAG-239,g__UBA1254,s__,No
Clinical,SRR18191195_bin.39,91.57,1.123,0.251,697611,5,1159067,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__UMGS872,s__UMGS872 sp900546275,Yes
Clinical,ERR4283398_bin.29,91.57,4.494,0.276,26595,67,1159883,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__UMGS2016,s__UMGS2016 sp945872435,Yes
Animal,SRR15023580_bin.18,96.62,2.247,0.475,131896,17,1162626,d__Bacteria,p__Bacillota,c__Bacilli,o__RFN20,f__CAG-826,g__UBA4951,s__UBA4951 sp902802355,Yes
Clinical,SRR17827925.bin_34,91.57,0,26.2,30644,2,1164525,d__Bacteria,p__Firmicutes,c__Bacilli,o__RF39,f__CAG-1000,g__CAG-628,s__CAG-628 sp000438415,Yes
Animal,SRR15023592_bin.15,98.87,1.123,0.354,103415,12,1164677,d__Bacteria,p__Bacillota,c__Bacilli,o__RFN20,f__CAG-826,g__UBA3207,s__,No
Clinical,ERR4283168_bin.44,93.82,2.247,0.26,68293,36,1166169,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__Faecisoma,s__Faecisoma sp000432255,Yes
Environment,SRR8208346_bin.38,93.9,0,0.421,57535,31,1167857,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__UBA7879,f__VGCX01,g__VGCX01,s__,No
Environment,ERR1713394_bin.4,94.38,4.494,0.398,27919,92,1171321,d__Bacteria,p__Bacillota,c__Bacilli,o__RFN20,f__CAG-826,g__UBA1361,s__,No
Animal,SRR12180959_bin.5,93.47,1.093,0.364,17606,101,1173694,d__Bacteria,p__Bacillota,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Apilactobacillus,s__Apilactobacillus kunkeei,Yes
Clinical,SRR14355392_bin.88,92.41,3.37,0.284,25067,65,1175231,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__CAG-877,s__CAG-877 sp900768815,Yes
Animal,SRR29409640_bin.12,91.57,1.284,0.356,81111,42,1176087,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__UBA1242,g__Caccovivens,s__Caccovivens sp944372445,Yes
Animal,SRR21163440_bin.75,92.13,2.247,0.337,191543,14,1180309,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__Fimihabitans,s__Fimihabitans intestinipullorum,Yes
Animal,SRR15023594_bin.24,98.87,1.221,0.35,143653,12,1183537,d__Bacteria,p__Bacillota,c__Bacilli,o__RFN20,f__CAG-826,g__UBA2450,s__,No
Animal,SRR24359761_bin.8,92.41,1.123,0.288,54261,36,1186867,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__Aphodocola,s__,No
Clinical,SRR14693221_bin.14,96.62,0,0.271,288818,27,1193824,d__Bacteria,p__Bacillota,c__Bacilli,o__RFN20,f__CAG-826,g__Onthovivens,s__Onthovivens sp900540365,Yes
Environment,SRR9924796_bin.48,90.55,1.709,0.459,188456,28,1194976,d__Bacteria,p__Acidobacteriota,c__Holophagae,o__Holophagales,f__Holophagaceae,g__UBA12189,s__UBA12189 sp003530835,Yes
Clinical,ERR4283345_bin.47,93.82,0,0.271,55913,31,1195460,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__Caccenecus,s__Caccenecus sp900549285,Yes
Clinical,SRR18191143_bin.32,91.57,1.685,0.27,81218,27,1200838,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__Onthocola_B,s__Onthocola_B sp900551525,Yes
Environment,SRR13013687_bin.57,93.01,0,0.364,124959,27,1201435,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Methylophilaceae,g__Methylopumilus,s__Methylopumilus sp016868195,Yes
Clinical,ERR4283229_bin.1,96.62,1.123,0.271,269967,23,1201852,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__RUG705,s__RUG705 sp934098395,Yes
Environment,SRR18576995_maxbin2_bin.23,91.57,1.12,31.16,14461,217,1203196,d__Bacteria,p__Firmicutes,c__Bacilli,o__RF39,f__CAG-822,g__,s__,No
Animal,SRR21163520_bin.17,97.08,1.701,0.391,20711,102,1213376,d__Bacteria,p__Bacillota,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Ligilactobacillus,s__Ligilactobacillus araffinosus,Yes
Clinical,ERR4283378_bin.16,91.01,2.247,0.252,122736,17,1214213,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__CAG-533,s__CAG-533 sp900553855,Yes
Environment,SRR25018328_bin.9,100,0,0.386,101649,18,1216680,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rickettsiales,f__Midichloriaceae,g__,s__,No
Animal,SRR21163434_bin.6,98.58,0.354,0.538,55975,46,1218339,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Peptostreptococcales,f__Anaerovoracaceae,g__Mogibacterium,s__,No
Animal,SRR12181049_bin.9,97.07,0.523,0.455,36783,83,1219409,d__Bacteria,p__Bacillota,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Fructobacillus,s__Fructobacillus fructosus,Yes
Animal,SRR21163457_bin.27,97.06,1.383,0.48,56708,41,1219897,d__Bacteria,p__Bacillota,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Ligilactobacillus,s__,No
Clinical,ERR4283122_bin.23,91.57,1.685,0.281,117727,20,1222871,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__CAG-628,s__CAG-628 sp003524085,Yes
Environment,SRR25018290_bin.1,98.54,0,0.266,33085,75,1222926,d__Bacteria,p__Bacillota,c__Bacilli,o__Mycoplasmatales,f__UBA3375,g__,s__,No
Animal,SRR15023597_bin.59,94.5,0.366,0.417,74358,22,1225109,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__RF32,f__UBA3637,g__,s__,No
Clinical,SRR14001040_bin.13,95.79,0,0.348,56612,25,1228243,d__Bacteria,p__Bacillota_C,c__Negativicutes,o__Veillonellales,f__Dialisteraceae,g__Allisonella,s__Allisonella pneumosinta,Yes
Clinical,ERR4283323_bin.26,91.57,1.123,0.295,212165,28,1229434,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__CAG-533,s__CAG-533 sp000434495,Yes
Environment,SRR5002404_bin.59,90.31,0,36.3,75051,36,1234574,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__UBA8558,f__UBA8558,g__UBA8558,s__UBA8558 sp002712065,Yes
Clinical,ERR4283303_bin.29,91.29,2.247,0.285,99133,15,1234873,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__CAG-877,s__CAG-877 sp000433455,Yes
Animal,SRR29472731_bin.27,93.25,0,0.299,84895,42,1235040,d__Bacteria,p__Bacillota,c__Bacilli,o__RFN20,f__CAG-826,g__CAJOOD01,s__,No
Animal,SRR29409643_bin.15,93.25,2.247,0.279,922425,68,1236272,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__UBA1242,g__UBA6345,s__UBA6345 sp944376785,Yes
Animal,SRR21163455_bin.1,93.19,1.047,0.347,119776,15,1237423,d__Bacteria,p__Bacillota,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__F6-6636,s__,No
Clinical,SRR14693221_bin.1,97.03,0,0.414,97203,38,1242957,d__Bacteria,p__Bacillota,c__Bacilli,o__RFN20,f__CAG-826,g__UBA4951,s__UBA4951 sp900542595,Yes
Animal,SRR15023606_bin.4,93.25,2.617,0.26,14565,147,1243132,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__UMGS1613,s__,No
Environment,SRR25018288_bin.9,96.23,0,0.379,209976,15,1244881,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__MC1,f__,g__,s__,No
Animal,SRR29757212_bin.73,92.69,4.787,0.277,29715,47,1244969,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__CALVJF01,s__CALVJF01 sp944331885,Yes
Clinical,SRR1950693_bin.2,95.46,0.427,0.421,62637,39,1248866,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Neisseriaceae,g__QFNR01,s__QFNR01 sp943913135,Yes
Animal,SRR21163426_bin.39,91.92,1.284,0.559,5159,328,1250135,d__Bacteria,p__Bacillota,c__Bacilli,o__RFN20,f__CAG-826,g__Enteromonas,s__Enteromonas pullicola,Yes
Clinical,CRR057345_bin.2,93.82,0,0.266,130764,30,1251430,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__CAJOJO01,s__CAJOJO01 sp900546745,Yes
Animal,SRR29449369_bin.7,93.4,0,0.452,18022,552,1252884,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__RF32,f__UBA3637,g__CALXZG01,s__CALXZG01 sp944391735,Yes
Environment,SRR9924776_bin.4,91.61,2.631,0.504,6653,268,1256147,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Actinomycetales,f__Microbacteriaceae,g__Rhodoluna,s__,No
Clinical,SRR23364176_bin.44,91.29,3.37,0.26,17664,113,1256327,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__UMGS1611,s__UMGS1611 sp900553435,Yes
Environment,SRR13727536_bin.61,90.12,0,0.519,10903,156,1257194,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__JAEXRW01,g__,s__,No
Clinical,ERR525999_bin.24,93.33,0,0.259,28500,81,1258558,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__CAG-1193,s__CAG-1193 sp900550145,Yes
Animal,SRR15023603_bin.5,97.33,0.111,0.283,56428,47,1260401,d__Bacteria,p__Bacillota,c__Bacilli,o__ML615J-28,f__CAG-313,g__UBA1231,s__,No
Clinical,ERR4283207_bin.27,90.16,1.123,0.274,57974,41,1262434,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__CAG-302,s__CAG-302 sp017887885,Yes
Environment,ERR1713394_bin.1,91.37,0.76,0.515,91512,61,1269533,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Actinomycetales,f__Microbacteriaceae,g__Aquiluna,s__,No
Animal,SRR15023574_bin.45,97.62,3.758,0.365,6389,266,1269957,d__Bacteria,p__Bacillota,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__DUUI01,s__,No
Animal,SRR15023593_bin.30,98.87,0,0.364,70346,39,1272605,d__Bacteria,p__Bacillota,c__Bacilli,o__RFN20,f__CAG-826,g__RUG14515,s__,No
Clinical,SRR14693224_bin.24,92.13,0,0.292,152125,11,1273077,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__CAG-605,s__CAG-605 sp000433255,Yes
Animal,SRR15023576_bin.47,95.13,0,0.454,81062,26,1276327,d__Bacteria,p__Elusimicrobiota,c__Elusimicrobia,o__Elusimicrobiales,f__Elusimicrobiaceae,g__Avelusimicrobium,s__,No
Animal,SRR15023600_bin.49,92.92,1.221,0.329,14924,142,1279338,d__Bacteria,p__Bacillota,c__Bacilli,o__RFN20,f__CAG-826,g__SIG220,s__,No
Animal,SRR15023589_bin.64,95.45,3.843,0.365,45537,76,1282030,d__Bacteria,p__Bacillota,c__Bacilli,o__RFN20,f__CAG-826,g__UBA3207,s__,No
Clinical,SRR13077909_bin.55,91.81,0.76,49.79,16132,116,1283047,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,s__Faecalibacterium prausnitzii_D,Yes
Animal,SRR15023583_bin.66,92.47,0,0.391,9444,183,1283849,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__RF32,f__CAG-239,g__RUG410,s__RUG410 sp017460085,Yes
Clinical,SRR15910062.bin_63,94.67,0,26.2,128283,1,1283883,d__Bacteria,p__Firmicutes,c__Bacilli,o__RF39,f__CAG-302,g__CAG-302,s__CAG-302 sp001916775,Yes
Clinical,SRR17049038_bin.2,94.08,0,0.42,6038,286,1284796,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__RF32,f__CAG-239,g__CAAFZY01,s__CAAFZY01 sp900767645,Yes
Animal,SRR15023608_bin.23,95.5,1.123,0.481,39533,55,1287123,d__Bacteria,p__Elusimicrobiota,c__Elusimicrobia,o__Elusimicrobiales,f__Elusimicrobiaceae,g__UBA1436,s__,No
Clinical,SRR14355425_bin.10,92.13,1.123,0.291,181607,16,1290819,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__CAG-605,s__CAG-605 sp900545005,Yes
