Bin,Completeness,Contamination,GC_content,N50,N_contigs,Size,Classification
CRR282970_bin.2,98.54,1.941,0.354,14370,358,2232076,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TA-21;s__TA-21 sp014523495
CRR282970_bin.6,92.3,4.273,0.676,13793,235,2626636,d__Bacteria;p__Actinomycetota;c__UBA4738;o__UBA4738;f__HRBIN12;g__AC-69;s__
CRR282971_bin.17,98.9,2.747,0.666,17146,286,3575540,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__JADGGM01;s__
CRR282971_bin.6,95.94,3.885,0.59,19586,272,3207378,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__;s__
CRR282974_bin.1,93.68,3.236,0.347,18926,203,2167069,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TA-21;s__TA-21 sp014523525
CRR282974_bin.3,98.07,1.041,0.643,59491,205,7929381,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp011516635
CRR282975_bin.4,96.6,0,0.344,17868,181,1755668,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TA-21;s__TA-21 sp014523495
CRR282979_bin.3,96.58,0.949,0.519,70088,135,4903815,d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__;s__
CRR282980_bin.1,93.58,4.7,0.575,23124,397,5819249,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SbA1;g__Sulfotelmatobacter;s__
CRR282980_bin.10,98.9,3.296,0.665,39251,230,4063815,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__JADGGM01;s__
CRR282980_bin.12,93.4,3.296,0.709,40600,152,3871551,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__JACDDX01;s__
CRR282980_bin.13,95.67,3.755,0.59,16125,267,3183972,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__;s__
CRR282980_bin.5,94.94,1.554,0.707,21190,228,3592373,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__
CRR282982_bin.1,91.26,3.28,0.667,18327,266,2802013,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__66-474;s__
CRR282982_bin.5,91.09,2.564,0.576,18247,428,5495113,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SbA1;g__Sulfotelmatobacter;s__
CRR282984_bin.5,95.9,3.636,0.599,18406,264,2605406,d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__NS-4;g__SCTG01;s__
CRR282985_bin.3,96.11,2.912,0.349,18281,198,2184753,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TA-21;s__TA-21 sp014523525
CRR282988_bin.4,93.31,4.854,0.348,14772,225,2169767,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TA-21;s__TA-21 sp014523525
CRR282992_bin.1,90.26,2.88,0.644,4754,803,3245248,d__Bacteria;p__Actinomycetota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__;s__
CRR282993_bin.10,90.16,2.467,0.606,10739,470,3784734,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__
CRR282993_bin.5,96.62,3.378,0.589,29851,184,3399349,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__;s__
CRR282993_bin.7,93.21,4.395,0.708,41437,155,3923213,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__JACDDX01;s__
CRR282993_bin.8,90.1,2.887,0.665,24615,180,2891138,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__66-474;s__
CRR282995_bin.5,97.08,2.912,0.349,8747,322,2071079,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TA-21;s__TA-21 sp014523525
CRR282997_bin.1,93.8,3.296,0.709,44174,130,3787700,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__JACDDX01;s__
CRR282997_bin.10,94.89,3.952,0.576,22140,503,6075983,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SbA1;g__Sulfotelmatobacter;s__
CRR282997_bin.3,94.37,2.461,0.707,33088,176,3604566,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__
CRR282997_bin.7,98.6,2.197,0.665,35927,193,3896487,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__JADGGM01;s__
CRR282998_bin.1,93.85,4.207,0.287,4154,690,2522903,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TH1177;s__
CRR282999_bin.3,94.53,3.641,0.648,11783,252,2353319,d__Bacteria;p__Desulfobacterota_E;c__Deferrimicrobia;o__Deferrimicrobiales;f__Deferrimicrobiaceae;g__FEB-35;s__
CRR283000_bin.1,90.59,1.282,0.577,15212,444,5081507,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SbA1;g__Sulfotelmatobacter;s__
CRR283003_bin.1,94.8,0.631,0.645,35616,292,7177248,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp011516635
CRR283004_bin.1,90.29,3.418,0.575,13225,545,5568160,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SbA1;g__Sulfotelmatobacter;s__
CRR283006_bin.2,90.12,2.8,0.354,7893,244,1354749,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TA-21;s__TA-21 sp014523595
CRR283007_bin.3,98.54,2.912,0.349,22206,191,2232624,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TA-21;s__TA-21 sp014523525
CRR283008_bin.4,94.66,4.58,0.344,13165,184,1630062,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TA-21;s__TA-21 sp014523495
CRR283009_bin.10,91.45,2.245,0.69,37851,110,2668809,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__;s__
CRR283009_bin.12,90.42,2.156,0.673,18023,380,4547528,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__
CRR283009_bin.13,98.86,0,0.594,38950,237,6008177,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Tepidisphaerales;f__Tepidisphaeraceae;g__;s__
CRR283009_bin.18,95.94,0.854,0.65,31911,148,3087948,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SCQP01;g__SCQP01;s__
CRR283009_bin.21,93.75,0.033,0.681,50534,89,2869072,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Casimicrobiaceae;g__VBCG01;s__
CRR283009_bin.29,98.26,0,0.587,148552,60,5026982,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Bog-105;s__
CRR283009_bin.3,94.05,2.145,0.64,27023,200,3675627,d__Bacteria;p__Chloroflexota;c__UBA5177;o__UBA5177;f__UBA5177;g__;s__
CRR283009_bin.30,90.51,2.134,0.404,8160,672,4315100,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__FW021-bin31;s__FW021-bin31 sp004299085
CRR283009_bin.32,92.89,0.69,0.714,105402,50,3200213,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__Marmoricola;s__
CRR283009_bin.33,94.18,4.022,0.627,25886,463,7423546,d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__JAIMBC01;g__;s__
CRR283009_bin.35,92.96,4.125,0.662,10449,715,5303289,d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__JADMIN01;g__;s__
CRR283009_bin.36,92.59,1.872,0.621,131446,31,2902140,d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Baltobacterales;f__Baltobacteraceae;g__;s__
CRR283009_bin.39,97.25,2.197,0.671,98367,93,4190791,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__JADGGM01;s__
CRR283009_bin.4,94.94,4.595,0.551,29384,237,4432240,d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_F;s__
CRR283009_bin.5,97.96,2.317,0.651,52004,129,3440076,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Acidothermales;f__Acidothermaceae;g__PALSA-607;s__
CRR283009_bin.8,91.37,1.149,0.707,18817,258,3648532,d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__VAYN01;s__
CRR283010_bin.10,94.5,2.197,0.669,22789,256,4098250,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__JADGGM01;s__
CRR283010_bin.12,95.02,1.335,0.606,10345,667,4829394,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SbA1;g__JAMXLI01;s__
CRR283010_bin.13,90.83,3.089,0.694,55533,86,2440799,d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Palsa-739;s__
CRR283010_bin.7,97.8,2.197,0.666,21073,415,4070949,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__JADGGM01;s__
CRR283017_bin.3,95.05,2.847,0.696,8488,449,3023791,d__Bacteria;p__Eisenbacteria;c__RBG-16-71-46;o__SZUA-252;f__SZUA-252;g__SZUA-252;s__
CRR283021_bin.1,98.54,2.912,0.347,11703,267,2028524,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TA-21;s__TA-21 sp014523525
CRR283022_bin.1,92,2.048,0.708,11164,"1,596",12266302,d__Bacteria;p__Myxococcota;c__Polyangia;o__Haliangiales;f__Haliangiaceae;g__JABFXX01;s__
CRR283022_bin.6,93.01,2.617,0.576,17264,532,5789403,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SbA1;g__Sulfotelmatobacter;s__
CRR283023_bin.2,91.74,3.883,0.344,13066,206,1617969,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TA-21;s__TA-21 sp014523495
CRR283032_bin.1,92.72,0.516,0.594,15213,530,5735488,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Tepidisphaerales;f__Tepidisphaeraceae;g__;s__
CRR283032_bin.11,94.05,1.98,0.641,32753,180,3604803,d__Bacteria;p__Chloroflexota;c__UBA5177;o__UBA5177;f__UBA5177;g__;s__
CRR283032_bin.13,92.8,1.547,0.672,19050,336,4763571,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__
CRR283032_bin.16,90.81,0.518,0.689,43658,98,2655476,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__;s__
CRR283032_bin.18,93.16,1.727,0.713,119781,63,3151363,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__Marmoricola;s__
CRR283032_bin.23,98.48,0.534,0.651,34394,157,3461510,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Acidothermales;f__Acidothermaceae;g__PALSA-607;s__
CRR283032_bin.29,98.71,0.854,0.599,118756,61,3721648,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Acidobacteriaceae;g__;s__
CRR283032_bin.33,99.13,0.869,0.585,112204,71,5379943,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Bog-105;s__
CRR283032_bin.35,91.37,3.284,0.405,4864,"1,141",4484545,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__FW021-bin31;s__FW021-bin31 sp004299085
CRR283032_bin.36,96.76,4.545,0.55,24235,464,5221567,d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_F;s__
CRR283032_bin.40,92.73,0.854,0.65,42626,104,2928856,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SCQP01;g__SCQP01;s__
CRR283032_bin.42,96.15,2.747,0.671,64326,110,4211119,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__JADGGM01;s__
CRR283032_bin.43,93.87,4.401,0.721,37243,102,2849752,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__JAFAQI01;g__;s__
CRR283032_bin.9,96.48,0.642,0.627,23868,487,7541668,d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__JAIMBC01;g__;s__
CRR283037_bin.12,98.26,2.608,0.585,126207,81,5395332,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Bog-105;s__
CRR283037_bin.15,92.14,4.125,0.698,13767,564,5139615,d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__JADMIN01;g__;s__
CRR283037_bin.16,92.21,4.595,0.551,27998,253,4463154,d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_F;s__
CRR283037_bin.17,92.26,4.351,0.626,57559,102,2915509,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__66-474;s__
CRR283037_bin.19,90.67,0.69,0.689,35846,159,2814031,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__;s__
CRR283037_bin.2,98.71,2.849,0.598,81656,99,3848464,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Acidobacteriaceae;g__;s__
CRR283037_bin.20,94.05,1.98,0.641,30758,202,3685314,d__Bacteria;p__Chloroflexota;c__UBA5177;o__UBA5177;f__UBA5177;g__;s__
CRR283037_bin.27,92.12,4.395,0.67,18958,309,3984105,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__JADGGM01;s__
CRR283037_bin.28,92.87,3.521,0.676,6984,694,3560405,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__ATCC43930;f__Stellaceae;g__AP-15;s__
CRR283037_bin.6,95.94,0.053,0.65,37691,136,2984263,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SCQP01;g__SCQP01;s__
CRR283038_bin.1,93.34,4.273,0.576,12756,584,5334831,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SbA1;g__Sulfotelmatobacter;s__
CRR283039_bin.3,93.68,2.912,0.348,10580,230,1639159,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TA-21;s__
CRR283040_bin.6,95.63,3.883,0.289,4479,658,2509916,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TH1177;s__
CRR283041_bin.8,95.34,1.709,0.574,13346,608,6107616,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SbA1;g__Sulfotelmatobacter;s__
CRR283042_bin.1,90.05,4.385,0.648,7530,451,2893794,d__Bacteria;p__Actinomycetota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__;s__
CRR283046_bin.10,94.4,3.296,0.709,46580,171,3902248,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__JACDDX01;s__
CRR283046_bin.3,92.96,2.08,0.66,47958,113,3281783,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__66-474;s__
CRR283046_bin.5,96.37,2.979,0.705,20082,319,3902519,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__
CRR283046_bin.6,90.85,1.667,0.646,15882,354,3077219,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__66-474;s__
CRR283046_bin.9,98.9,3.296,0.665,34585,250,4021652,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__JADGGM01;s__
CRR283051_bin.5,93.16,3.846,0.653,23126,407,6449727,d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Gp7-AA8;f__Gp7-AA8;g__QHVT01;s__
CRR283051_bin.6,92.41,3.271,0.672,9905,530,4118898,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-39;g__SCGC-AG-212-J23;s__
CRR283053_bin.1,98.71,0.099,0.642,51925,238,7857009,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp011516635
CRR283053_bin.2,93.31,4.854,0.286,4076,788,2454359,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TH1177;s__
CRR283063_bin.1,97.08,3.883,0.427,21207,190,2534213,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaera;s__
CRR283066_bin.1,96.76,3.883,0.349,14244,255,2275445,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TA-21;s__TA-21 sp014523525
CRR283066_bin.2,98.08,0.818,0.643,73892,178,7885825,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp011516635
CRR283067_bin.1,92.84,1.869,0.576,17500,488,5432642,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SbA1;g__Sulfotelmatobacter;s__
CRR283069_bin.4,93.86,1.554,0.705,21847,256,3954582,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__
CRR283070_bin.1,90.75,4.729,0.578,12652,539,4842123,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SbA1;g__Sulfotelmatobacter;s__
CRR283072_bin.2,93.39,2.686,0.662,14156,398,3577960,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Casimicrobiaceae;g__VBCG01;s__
