Bin,Completeness,Contamination,GC_content,N50,N_contigs,Size,Classification
CRR656999_bin.57,98.4,0,0.289,125514,41,2162408,d__Bacteria;p__Spirochaetota;c__Brachyspirae;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__Brachyspira sp910588665
CRR656999_bin.59,90.03,2.531,0.483,48905,107,3206110,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Merdisoma;s__Merdisoma sp910576325
CRR656999_bin.6,96.72,0.923,0.454,75693,89,3917525,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__14-2;s__14-2 sp011960065
CRR656999_bin.61,90.51,3.861,0.43,9279,471,3252107,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__Odoribacter sp021771575
CRR656999_bin.63,96.55,2.586,0.313,61421,69,2367556,d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Mucispirillaceae;g__Mucispirillum;s__Mucispirillum sp910586745
CRR656999_bin.64,98.91,0.181,0.385,34463,104,1968353,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus reuteri
CRR656999_bin.66,99.51,0.16,0.584,273902,13,2034464,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Tidjanibacter;s__Tidjanibacter sp910577285
CRR656999_bin.68,95.9,2.144,0.459,128047,66,3219598,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-317;s__CAG-317 sp011960265
CRR656999_bin.7,94.28,2.56,0.505,42054,96,2660771,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dubosiella;s__Dubosiella sp004793885
CRR656999_bin.71,95.96,0,0.692,255637,19,2121738,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__NM07-P-09;s__NM07-P-09 sp004793665
CRR656999_bin.9,92.3,0.961,0.654,239408,14,1976595,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp002358415
CRR657000_bin.1,98.17,0.503,0.477,39139,114,2774092,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__CAG-485 sp009775365
CRR657000_bin.10,98.67,0.754,0.503,39726,102,2607211,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp013316675
CRR657000_bin.12,99.05,0.377,0.523,150540,32,2968252,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella sp001689575
CRR657000_bin.13,99.32,4.161,0.437,85450,59,3275094,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes hominis
CRR657000_bin.14,98.75,0.625,0.498,80847,43,2189209,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_A;g__Parasutterella;s__Parasutterella sp009767915
CRR657000_bin.15,99.82,0.353,0.367,45409,69,1764887,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_D;s__Helicobacter_D ganmani
CRR657000_bin.17,96.98,0.503,0.552,159410,27,2195281,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp002490635
CRR657000_bin.19,98.07,0.156,0.443,59129,78,2883213,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_A;g__Turicimonas;s__Turicimonas muris
CRR657000_bin.23,96.54,3.899,0.502,83241,102,3354839,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__JAGBWK01;s__JAGBWK01 sp004102805
CRR657000_bin.24,92.93,0,0.462,135521,46,4455010,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis
CRR657000_bin.25,98.22,0,0.438,213470,36,2132054,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Mailhella;s__Mailhella sp003512875
CRR657000_bin.27,90.79,2.138,0.568,13593,218,2151260,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp002491305
CRR657000_bin.28,97.66,0.743,0.501,110851,36,2795826,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Paraprevotella;s__Paraprevotella sp910584955
CRR657000_bin.29,98.49,4.385,0.417,106678,89,4707130,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus
CRR657000_bin.3,95.28,2.264,0.504,32543,105,2144560,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__Paramuribaculum sp001689565
CRR657000_bin.30,99.55,0,0.601,76165,35,2078835,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium animalis
CRR657000_bin.31,99.42,0.769,0.449,190540,37,4698642,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis
CRR657000_bin.32,93.01,0.49,0.506,56592,71,2604413,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum intestinale
CRR657000_bin.34,96.97,1.582,0.501,88747,98,5550757,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster aldenensis
CRR657000_bin.36,97.27,0,0.557,154747,32,2790412,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila_A
CRR657000_bin.38,98.36,4.047,0.462,60382,88,4120802,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__CAG-485 sp002493045
CRR657000_bin.39,90.71,1.57,0.349,8622,366,2113254,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis
CRR657000_bin.4,98.55,0,0.57,229026,20,2113377,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp002362235
CRR657000_bin.41,99.32,0,0.61,95303,72,3737988,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor plautii
CRR657000_bin.43,98.11,0.377,0.526,73300,42,2088120,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA3263;s__UBA3263 sp001689615
CRR657000_bin.44,99.23,1.025,0.433,106505,99,6423540,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides goldsteinii
CRR657000_bin.9,94.93,2.373,0.492,265095,53,6648985,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella;s__Hungatella effluvii
CRR657001_bin.15,98.22,0,0.436,137430,62,2198543,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Mailhella;s__Mailhella sp003512875
CRR657001_bin.19,90.18,3.309,0.509,82640,88,4174176,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp910587555
CRR657001_bin.2,98.27,2.586,0.313,69958,90,2447239,d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Mucispirillaceae;g__Mucispirillum;s__Mucispirillum sp910586745
CRR657001_bin.21,96.19,0.957,0.434,41833,139,3492299,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Kineothrix;s__Kineothrix sp910588855
CRR657001_bin.24,98.08,0,0.586,60360,66,2292564,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenella;s__Rikenella sp910579375
CRR657001_bin.28,98.22,0.591,0.613,41088,108,2327625,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio sp910575755
CRR657001_bin.30,92.92,0.909,0.458,72478,74,3502887,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__14-2;s__14-2 sp011960065
CRR657001_bin.33,94.62,1.164,0.435,11670,241,2251541,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__Odoribacter sp009935865
CRR657001_bin.34,98.85,1.997,0.476,70242,74,3764155,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__1XD8-76;s__1XD8-76 sp022799355
CRR657001_bin.35,91.38,0.692,0.6,17124,196,2389879,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella;s__Angelakisella sp013316495
CRR657001_bin.36,100,0.566,0.349,76035,56,2330114,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis
CRR657001_bin.4,99.94,0.403,0.36,103579,40,1671013,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_C;s__Helicobacter_C hepaticus
CRR657001_bin.40,99.29,0.353,0.368,48835,76,1728586,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_D;s__Helicobacter_D ganmani
CRR657001_bin.41,97.7,0.191,0.441,52706,73,2888329,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__14-2;s__14-2 sp910576975
CRR657001_bin.43,96.12,0.961,0.632,60182,58,2192761,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp910576555
CRR657001_bin.48,96.42,0.476,0.484,111988,53,2908956,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp910585445
CRR657001_bin.49,95.56,0,0.335,77463,32,1655495,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__UBA3700;g__MGBC100798;s__MGBC100798 sp910584975
CRR657001_bin.5,90.14,0.537,0.453,30582,111,2191451,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__Odoribacter sp910589025
CRR657001_bin.50,97.12,0.052,0.451,63218,94,3336776,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Kineothrix;s__Kineothrix sp000403275
CRR657001_bin.51,95.3,0.503,0.495,39613,125,2695893,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum;s__Anaerotignum sp910576545
CRR657001_bin.52,91.95,4.568,0.521,85860,191,4269937,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp011959105
CRR657001_bin.53,90.11,0.16,0.592,60915,42,1740126,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp002428825
CRR657001_bin.58,98.47,0.362,0.513,130547,41,3452172,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia sp910577925
CRR657001_bin.64,90.73,1.328,0.486,88868,39,2563538,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__1XD42-69;s__
CRR657001_bin.65,97.31,0.335,0.375,108893,49,2118946,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp011958665
CRR657001_bin.66,91.91,0.292,0.485,170604,34,2683291,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7109;s__UBA7109 sp910580235
CRR657001_bin.67,96.79,3.984,0.513,25276,150,2418638,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp001689485
CRR657001_bin.70,97.12,4.597,0.48,83219,87,4879482,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__UBA3282 sp910578115
CRR657001_bin.71,96.92,0.584,0.46,131532,50,2853154,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-317;s__CAG-317 sp011960265
CRR657001_bin.73,94.62,0.537,0.514,96132,44,2444916,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__Odoribacter sp910578985
CRR657001_bin.74,99.47,0,0.4,29158,105,2212658,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus murinus
CRR657001_bin.8,93.8,1.824,0.609,14304,281,2765293,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAJFPI01;s__CAJFPI01 sp022801715
CRR657434_bin.10,96.45,1.86,0.584,8570,360,2266413,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenella;s__Rikenella sp910579375
CRR657434_bin.12,93.77,0.377,0.512,59398,51,2315267,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp001689485
CRR657434_bin.14,97.95,0,0.558,153875,40,2654453,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila_A
CRR657434_bin.17,98.91,3.961,0.485,106311,65,3916367,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp910586485
CRR657434_bin.2,91.52,4.465,0.543,13216,233,2298764,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp011959565
CRR657434_bin.23,90.3,0.44,0.51,55958,77,2355362,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Amulumruptor;s__Amulumruptor sp001689515
CRR657434_bin.27,93.81,0.83,0.552,27407,115,2089458,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__Paramuribaculum intestinale
CRR657434_bin.28,96.98,0.125,0.552,102652,38,2212980,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp002490635
CRR657434_bin.29,99.05,0.754,0.489,82271,51,3034087,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum sp910587665
CRR657434_bin.3,97.97,4.761,0.404,23223,217,2664854,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Ileibacterium;s__Ileibacterium valens
CRR657434_bin.30,97.35,0.178,0.501,95531,46,2600848,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum gordoncarteri
CRR657434_bin.33,95.28,0.404,0.455,16780,276,2821685,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Allobaculum;s__Allobaculum sp015233825
CRR657434_bin.34,94.33,1.459,0.693,9470,278,1843417,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__NM07-P-09;s__NM07-P-09 sp004793665
CRR657434_bin.37,95.11,1.965,0.64,17032,166,2050176,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp910584485
CRR657434_bin.39,93.32,2.863,0.483,47075,104,2768694,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum faecis
CRR657434_bin.4,91.76,3.504,0.51,44429,106,2468439,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dubosiella;s__Dubosiella sp004793885
CRR657434_bin.40,96.61,1.314,0.641,24047,177,1766542,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium globosum
CRR657434_bin.41,95.09,0.754,0.537,38615,153,2897736,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp001689665
CRR657434_bin.45,95.51,1.76,0.443,12358,317,2494071,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_A;g__Turicimonas;s__Turicimonas muris
CRR657434_bin.46,93.58,1.132,0.506,23580,154,2411892,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp013316675
CRR657434_bin.49,95.47,3.735,0.482,49266,138,4114969,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp910588595
CRR657434_bin.50,93.96,2.339,0.465,18983,335,4135006,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp009774345
CRR657434_bin.51,97.98,0,0.381,99717,41,2282400,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp009774735
CRR657434_bin.52,92.89,4.55,0.546,8783,313,2118164,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp009775225
CRR657434_bin.56,98.84,1.923,0.281,193757,17,680598,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__MGBC110633;s__
CRR657434_bin.58,97.04,0.591,0.439,20368,151,2045293,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Mailhella;s__Mailhella sp003512875
CRR657434_bin.59,92.86,3.438,0.386,12946,500,4580276,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp003513705
CRR657434_bin.61,93.39,0.377,0.505,52948,68,2060012,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__Paramuribaculum sp001689565
CRR657434_bin.62,99.47,0,0.4,30603,101,2185461,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus murinus
CRR657434_bin.64,97.16,1.886,0.495,55310,82,2801020,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp001689415
CRR657434_bin.65,96.49,0.659,0.454,103888,84,3969535,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__
CRR657434_bin.68,98.32,0,0.412,84217,61,2715506,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus;s__Ruminococcus sp910579835
CRR657434_bin.69,96.66,2.884,0.642,156324,26,2249397,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp002358415
CRR657434_bin.7,97.66,0.578,0.499,108322,42,2912669,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Paraprevotella;s__Paraprevotella sp910584955
CRR657434_bin.70,92.07,0.377,0.526,34879,95,2284824,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella muris
CRR657434_bin.8,93.09,1.154,0.51,13689,260,2597762,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum intestinale
CRR657435_bin.1,91.65,4.339,0.513,9252,318,2251552,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp001689485
CRR657435_bin.11,95.09,4.333,0.485,114766,42,3178134,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum sp009775095
CRR657435_bin.12,96.22,0.754,0.487,88859,56,2756502,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__Paramuribaculum sp017621225
CRR657435_bin.13,99.51,0.48,0.642,181850,23,2273518,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp002358415
