Bin,Completeness,Contamination,GC_content,N50,N_contigs,Size,Classification
CRR537282_bin.1,96.7,0.724,0.291,18313,60,723700,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__Mesomycoplasma;s__Mesomycoplasma flocculare
CRR537282_bin.2,100,0.384,0.281,34909,33,737470,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537283_bin.1,100,0.384,0.281,27258,50,753533,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537284_bin.3,100,0.384,0.281,32730,42,759470,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537285_bin.1,100,0.384,0.281,32730,31,738617,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537288_bin.2,99.27,0,0.286,87723,23,856527,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__Mesomycoplasma;s__Mesomycoplasma hyopneumoniae
CRR537288_bin.3,100,0.384,0.281,32730,34,748502,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537290_bin.1,100,0.384,0.281,28084,43,747959,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537291_bin.2,100,0,0.415,107825,50,3271659,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii
CRR537291_bin.3,98.21,0.051,0.536,13411,296,2827364,d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Anoxybacillaceae;g__Geobacillus;s__Geobacillus sp002809955
CRR537291_bin.4,99.61,1.923,0.282,17883,66,750110,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537292_bin.1,97.32,2.666,0.415,9549,483,3288640,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii
CRR537295_bin.2,94.38,3.501,0.415,3414,"1,069",3062648,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii
CRR537296_bin.1,92.56,1.404,0.418,4094,861,2919219,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii
CRR537296_bin.3,100,0.384,0.281,32730,40,746890,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537297_bin.1,99.74,0.384,0.281,18393,62,738053,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537300_bin.1,98.46,0.384,0.286,9296,128,755762,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537303_bin.1,94.35,2.307,0.282,6122,177,728326,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537303_bin.2,93.1,2.756,0.415,5047,747,3027231,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii
CRR537303_bin.3,98.15,0.065,0.29,68525,17,726672,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__Mesomycoplasma;s__Mesomycoplasma flocculare
CRR537304_bin.1,98.45,1.378,0.415,19909,269,3284260,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii
CRR537304_bin.2,100,0.384,0.282,42526,31,746759,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537305_bin.1,100,0,0.299,38877,90,975444,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__Mesomycoplasma;s__Mesomycoplasma hyorhinis
CRR537305_bin.4,99.27,0,0.287,38312,37,841530,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__Mesomycoplasma;s__Mesomycoplasma hyopneumoniae
CRR537306_bin.1,99.58,1.141,0.415,25828,188,3349165,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii
CRR537307_bin.1,96.83,2.254,0.414,10480,425,3240356,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii
CRR537308_bin.1,97.3,2.564,0.28,7428,141,747208,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537308_bin.2,99.27,0,0.316,113191,72,973497,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__Mesomycoplasma;s__Mesomycoplasma hyopneumoniae
CRR537308_bin.3,95.06,1.324,0.414,17966,268,3243704,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii
CRR537309_bin.1,96.17,0.547,0.416,47270,95,3140368,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii
CRR537309_bin.2,100,0.384,0.281,32730,39,761773,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537310_bin.2,100,0.384,0.281,30417,38,746254,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537310_bin.3,98.94,1.073,0.415,11604,384,3260689,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii
CRR537311_bin.1,99.27,0.241,0.319,70398,73,1021544,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__Mesomycoplasma;s__Mesomycoplasma hyopneumoniae
CRR537311_bin.2,100,0.342,0.415,55810,107,3335951,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii
CRR537311_bin.3,100,0.384,0.281,32727,39,752823,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537312_bin.1,99.58,1.484,0.416,12696,383,3275630,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii
CRR537312_bin.2,100,0.384,0.281,30510,38,743122,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537313_bin.1,100,0.384,0.282,17683,67,739018,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537314_bin.1,100,0.384,0.281,28095,45,751144,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537315_bin.3,100,0.136,0.416,65861,87,3241838,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii
CRR537316_bin.1,99.04,1.21,0.414,26689,201,3369813,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii
CRR537317_bin.2,100,0.273,0.413,51700,112,3394719,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii
CRR537318_bin.2,100,0.384,0.281,35759,33,748889,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537319_bin.2,94.61,0.384,0.284,5748,169,703697,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537320_bin.1,97.25,0.706,0.421,19787,203,2239672,d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Anoxybacillaceae;g__Anoxybacillus;s__Anoxybacillus flavithermus_G
CRR537320_bin.2,100,0.384,0.281,35759,37,752259,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537321_bin.1,99.27,0,0.286,47352,31,844791,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__Mesomycoplasma;s__Mesomycoplasma hyopneumoniae
CRR537321_bin.2,100,0.384,0.281,22388,49,748640,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537323_bin.1,98.84,0.802,0.28,13208,95,753028,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537324_bin.1,97.82,1.673,0.419,14832,289,2397029,d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Anoxybacillaceae;g__Anoxybacillus;s__Anoxybacillus flavithermus_G
CRR537325_bin.1,96.38,0.802,0.42,8391,405,2230082,d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Anoxybacillaceae;g__Anoxybacillus;s__Anoxybacillus flavithermus_G
CRR537325_bin.3,100,0.384,0.281,37271,35,746183,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537326_bin.1,96.92,1.086,0.286,12738,107,826274,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__Mesomycoplasma;s__Mesomycoplasma hyopneumoniae
CRR537327_bin.2,100,0.384,0.281,37059,29,729377,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537329_bin.3,99.27,0,0.335,53800,117,1075214,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__Mesomycoplasma;s__Mesomycoplasma hyopneumoniae
CRR537330_bin.1,92.16,1.297,0.419,25493,154,2099794,d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Anoxybacillaceae;g__Anoxybacillus;s__Anoxybacillus flavithermus_G
CRR537331_bin.1,99.23,0.384,0.281,18163,57,744491,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537332_bin.1,100,0.384,0.281,32736,37,750822,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537334_bin.1,100,0.384,0.281,31245,39,747174,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537335_bin.1,100,0.384,0.328,28081,114,914208,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537336_bin.1,97.82,0.724,0.287,19704,62,813754,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__Mesomycoplasma;s__Mesomycoplasma hyopneumoniae
CRR537337_bin.1,100,0.384,0.331,28148,118,935421,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537339_bin.1,99.27,0,0.332,51944,109,1047391,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__Mesomycoplasma;s__Mesomycoplasma hyopneumoniae
CRR537339_bin.3,100,0.384,0.281,35132,33,736504,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537340_bin.1,100,0.384,0.281,35774,35,751081,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537342_bin.1,100,0.384,0.281,37072,31,724064,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537344_bin.1,99.27,0,0.286,61618,28,833421,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__Mesomycoplasma;s__Mesomycoplasma hyopneumoniae
CRR537344_bin.2,100,0.384,0.281,20950,58,740247,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537345_bin.1,99.27,0,0.286,87064,23,858308,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__Mesomycoplasma;s__Mesomycoplasma hyopneumoniae
CRR537345_bin.2,100,0.384,0.281,26758,42,735535,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537346_bin.1,99.61,0.384,0.282,24297,65,755950,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537347_bin.1,98.58,0.385,0.686,37755,212,4909272,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium;s__
CRR537348_bin.1,98.55,0,0.287,9421,121,841594,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__Mesomycoplasma;s__Mesomycoplasma hyopneumoniae
CRR537349_bin.1,100,0.384,0.329,32812,102,909190,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537350_bin.1,100,0.384,0.281,37266,36,746944,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537350_bin.3,99.27,0,0.285,47843,33,819518,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__Mesomycoplasma;s__Mesomycoplasma hyopneumoniae
